advertisement_number,brand,series,version,year,km,price,advertisement_date,gear,fuel,engine_capacity,engine_power,from,city
#4051572,Mercedes,E Serisi,E 200 Elegance,1997,329.000,74.500 TL,21/03/2021,74.500 TL,Marka:,Otomatik Vites,Benzin/LPG,1801-2000 cc,Elazığ
#1345314,Mercedes,E Serisi,E 200 Komp. Avantgarde,2005,291.000,177.000 TL,21/03/2021,177.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1601-1800 cc,İstanbul
#1028713,Mercedes,E Serisi,E 200 Avantgarde,1996,307.000,105.000 TL,21/03/2021,105.000 TL,Marka:,Otomatik Vites,Benzin/LPG,1801-2000 cc,İstanbul
#4364555,Mercedes,E Serisi,E 220 CDI Start,2012,321.000,345.000 TL,21/03/2021,345.000 TL,Marka:,Otomatik Vites,Dizel,2001-2500 cc,Hatay
#4414787,Mercedes,E Serisi,E 350 CDI BlueTEC Premium,2014,238.000,650.000 TL,21/03/2021,650.000 TL,Marka:,Otomatik Vites,Dizel,2501-3000 cc,Şanlıurfa
#849611,Mercedes,E Serisi,E 250 Elite,2015,107.000,439.000 TL,21/03/2021,439.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,Ankara
#2741239,Mercedes,E Serisi,E 200 CGI BlueEfficiency Prime,2010,235.000,298.000 TL,21/03/2021,298.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1601-1800 cc,Bursa
#1516614,Mercedes,E Serisi,E 220 CDI Avantgarde,2009,270.000,258.000 TL,21/03/2021,258.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,İstanbul
#210654,Mercedes,E Serisi,E 220 d Exclusive,2016,40.000,780.000 TL,21/03/2021,780.000 TL,Marka:,Yarı Otomatik Vites,Dizel,1801-2000 cc,Zonguldak
#2363908,Mercedes,E Serisi,E 250 EditionE,2015,42.000,590.000 TL,21/03/2021,590.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,Konya
#2304191,Mercedes,E Serisi,E 250 CDI Premium,2013,127.000,495.000 TL,21/03/2021,495.000 TL,Marka:,Otomatik Vites,Dizel,2001-2500 cc,Konya
#216669,Mercedes,E Serisi,E 320 Avantgarde,2001,312.000,145.000 TL,21/03/2021,145.000 TL,Marka:,Yarı Otomatik Vites,Benzin,3001-3500 cc,İstanbul
#2168540,Mercedes,E Serisi,E 200 CGI BlueEfficiency Avantgarde,2010,205.000,354.500 TL,21/03/2021,354.500 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,Aydın
#536822,Mercedes,E Serisi,E 220 d Avantgarde,2017,109.000,649.000 TL,21/03/2021,649.000 TL,Marka:,Otomatik Vites,Dizel,1801-2000 cc,İstanbul
#4598418,Mercedes,E Serisi,E 220 d AMG,2017,53.000,950.000 TL,21/03/2021,950.000 TL,Marka:,Otomatik Vites,Dizel,1801-2000 cc,Ankara
#4598418,Mercedes,E Serisi,E 220 d AMG,2017,53.000,950.000 TL,21/03/2021,950.000 TL,Marka:,Otomatik Vites,Dizel,1801-2000 cc,Ankara
#2164615,Mercedes,E Serisi,E 200 CGI BlueEfficiency Avantgarde,2012,165.515,369.000 TL,21/03/2021,369.000 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,İstanbul
#2164615,Mercedes,E Serisi,E 200 CGI BlueEfficiency Avantgarde,2012,165.515,369.000 TL,21/03/2021,369.000 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,İstanbul
#3839337,Mercedes,E Serisi,E 200 Komp. Avantgarde,2006,250.000,232.000 TL,21/03/2021,232.000 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1601-1800 cc,Manisa
#4647775,Mercedes,E Serisi,E 200 Komp. Avantgarde,2004,363.284,204.750 TL,21/03/2021,204.750 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1601-1800 cc,Ankara
#2748310,Mercedes,E Serisi,E 200 200,1996,256.000,76.900 TL,21/03/2021,76.900 TL,Marka:,Düz Vites,Benzin/LPG,1300 cc ve altı,İstanbul
#879272,Mercedes,E Serisi,E 230 Elegance,1996,400.000,97.000 TL,21/03/2021,97.000 TL,Marka:,Otomatik Vites,Benzin/LPG,1300 cc ve altı,İstanbul
#317959,Mercedes,E Serisi,E 200 Avantgarde,1996,420.000,94.000 TL,21/03/2021,94.000 TL,Marka:,Otomatik Vites,Benzin/LPG,1801-2000 cc,Konya
#4398784,Mercedes,E Serisi,E 180 AMG,2018,31.000,650.000 TL,21/03/2021,650.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#2691912,Mercedes,E Serisi,E 250 CDI Premium,2012,168.000,364.750 TL,21/03/2021,364.750 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,İstanbul
#149410,Mercedes,E Serisi,E 200 CGI AMG,2010,166.000,298.950 TL,21/03/2021,298.950 TL,Marka:,Otomatik Vites,Benzin,1601-1800 cc,İstanbul
#1206490,Mercedes,E Serisi,E 200 Komp. Avantgarde,2001,386.000,137.000 TL,21/03/2021,137.000 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1801-2000 cc,Denizli
#327376,Mercedes,E Serisi,E 180 Exclusive,2018,20.000,647.000 TL,21/03/2021,647.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#386900,Mercedes,E Serisi,E 220 d AMG,1996,343.000,86.750 TL,21/03/2021,86.750 TL,Marka:,Otomatik Vites,Dizel,1300 cc ve altı,Ankara
#3612124,Mercedes,E Serisi,E 250 CGI AMG,2011,187.000,315.000 TL,21/03/2021,315.000 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,Giresun
#1484805,Mercedes,E Serisi,E 200 200,1994,220.000,98.000 TL,21/03/2021,98.000 TL,Marka:,Düz Vites,Benzin/LPG,1801-2000 cc,Konya
#1499938,Mercedes,E Serisi,E 250 CDI Elite,2014,200.000,499.900 TL,21/03/2021,499.900 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,İstanbul
#1499938,Mercedes,E Serisi,E 250 CDI Elite,2014,200.000,499.900 TL,21/03/2021,499.900 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,İstanbul
#3860339,Mercedes,E Serisi,E 200 Komp. Avantgarde,2005,307.000,188.750 TL,21/03/2021,188.750 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1601-1800 cc,Gaziantep
#1236873,Mercedes,E Serisi,E 350 CDI Premium,2010,285.000,500.000 TL,18/03/2021,500.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2501-3000 cc,Van
#707235,Mercedes,E Serisi,E 200 Classic,1998,345.000,105.750 TL,17/03/2021,105.750 TL,Marka:,Düz Vites,Benzin/LPG,1801-2000 cc,Elazığ
#707235,Mercedes,E Serisi,E 200 Classic,1998,345.000,105.750 TL,17/03/2021,105.750 TL,Marka:,Düz Vites,Benzin/LPG,1801-2000 cc,Elazığ
#4160102,Mercedes,E Serisi,E 250 Elite,2013,189.000,389.000 TL,10/03/2021,389.000 TL,Marka:,Otomatik Vites,Benzin,2001-2500 cc,Aydın
#2535361,Mercedes,E Serisi,E 200 Elegance,1997,41.500,110.000 TL,01/03/2021,110.000 TL,Marka:,Otomatik Vites,Benzin/LPG,1801-2000 cc,Rize
#2535361,Mercedes,E Serisi,E 200 Elegance,1997,41.500,110.000 TL,01/03/2021,110.000 TL,Marka:,Otomatik Vites,Benzin/LPG,1801-2000 cc,Rize
#2722123,Mercedes,E Serisi,E 180 AMG Premium,2014,138.000,399.900 TL,24/02/2021,399.900 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#3222257,Mercedes,E Serisi,E 63 AMG,2018,24.000,2.475.000 TL,16/02/2021,2.475.000 TL,Marka:,Otomatik Vites,Benzin,3501-4000 cc,Hatay
#3449286,Mercedes,E Serisi,E 220 CDI Avantgarde,2009,270.000,290.000 TL,16/02/2021,290.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,Yozgat
#2688657,Mercedes,E Serisi,E 180 Edition E,2015,133.000,419.900 TL,15/02/2021,419.900 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#297281,Mercedes,E Serisi,E 180 AMG,2018,32.000,708.500 TL,15/02/2021,708.500 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#2316769,Mercedes,E Serisi,E 200 CGI BlueEfficiency Avantgarde,2010,188.000,325.000 TL,15/02/2021,325.000 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,Erzincan
#4110574,Mercedes,E Serisi,E 200 Elegance,1997,425.000,84.500 TL,15/02/2021,84.500 TL,Marka:,Otomatik Vites,Benzin/LPG,1801-2000 cc,Ankara
#1329518,Mercedes,E Serisi,E 180 Elite,2015,180.229,386.500 TL,15/02/2021,386.500 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#4672364,Mercedes,E Serisi,E 180 Exclusive,2018,35.000,612.000 TL,15/02/2021,612.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#4120326,Mercedes,E Serisi,E 180 Exclusive,2018,59.000,650.000 TL,15/02/2021,650.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Yalova
#1748166,Mercedes,E Serisi,E 180 Elite,2013,117.000,379.900 TL,15/02/2021,379.900 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Aydın
#4493900,Mercedes,E Serisi,E 180 Edition E,2015,95.000,450.000 TL,15/02/2021,450.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Adana
#1992300,Mercedes,E Serisi,E 250 D Classic,1987,595.000,62.500 TL,15/02/2021,62.500 TL,Marka:,Düz Vites,Dizel,1300 cc ve altı,Malatya
#3650951,Mercedes,E Serisi,E 350 CDI Premium,2011,169.000,495.900 TL,15/02/2021,495.900 TL,Marka:,Otomatik Vites,Dizel,1300 cc ve altı,Adana
#4154400,Mercedes,E Serisi,E 250 CDI AMG,2013,110.000,509.500 TL,15/02/2021,509.500 TL,Marka:,Otomatik Vites,Dizel,2001-2500 cc,İstanbul
#2499145,Mercedes,E Serisi,E 180 Exclusive,2017,94.000,592.500 TL,15/02/2021,592.500 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#3055160,Mercedes,E Serisi,E 180 Avantgarde,2017,50.000,559.900 TL,15/02/2021,559.900 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Ankara
#2295001,Mercedes,E Serisi,E 200 Komp. Avantgarde,2005,360.000,185.000 TL,15/02/2021,185.000 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1601-1800 cc,İzmir
#239688,Mercedes,E Serisi,E 180 Elite,2015,145.000,405.000 TL,15/02/2021,405.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#1327296,Mercedes,E Serisi,E 200 Komp. Elegance,2003,157.000,193.000 TL,15/02/2021,193.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1601-1800 cc,Denizli
#3132403,Mercedes,E Serisi,E 200 Elegance,1997,266.000,90.000 TL,15/02/2021,90.000 TL,Marka:,Otomatik Vites,Benzin/LPG,1801-2000 cc,Burdur
İlan Tarihi:,Model:,Varyant:,Model Yılı:,Kilometre:,Yakıt Türü:,101.000 TL,Marka:,101.000 TL,Mercedes,Motor Hacmi:,Vites Tipi:,Motor Gücü:,İlan No:
#2992377,Mercedes,E Serisi,E 200 CGI AMG,2010,298.000,284.000 TL,15/02/2021,284.000 TL,Marka:,Otomatik Vites,Benzin,1601-1800 cc,Hatay
#4431571,Mercedes,E Serisi,E 220 d Avantgarde,2016,140.000,664.500 TL,15/02/2021,664.500 TL,Marka:,Yarı Otomatik Vites,Dizel,1801-2000 cc,İstanbul
