adver_number,brand,class_,variant_,km,engine_capacity_cc,fuel,gear,adver_date,year,city,price_tl,variant,title,city_
#1429971,Mercedes,C-Class,C 180,115000,1301-1600 cc,Petrol,Automatic,21/03/2021,2014,Other,398500,C 180 AMG 7G-Tronic,ÇANKARA DAN 2014 C180 AMG HAFIZA HEAD-UP BURMESTER BOYASIZ Mercedes - Benz C Serisi C 180 AMG 7G-Tronic,Konya
#1885379,Mercedes,C-Class,C 200,279000,2001-2500 cc,Diesel,Automatic,20/03/2021,2003,Other,174999,220 CDI Avantgarde,MERCEDES-BENZ C 220 CDI AVANTGARDE OTOMATİK FULL FULL,Nevşehir
#3007086,Mercedes,C-Class,Other,293000,2001-2500 cc,Diesel,Automatic,20/03/2021,2003,Other,175000,220 D Elegance,2003 MERCEDESBENZ-C 220 CDI ELEGANCE-OTOMATİK VİTES,Nevşehir
#2278919,Mercedes,C-Class,Other,95000,1301-1600 cc,Diesel,Automatic,21/03/2021,2017,Other,509400,200 D,2017 ARALIK ÇIKIŞLI MERCEDES C 200D AMG,Izmir
#1924164,Mercedes,C-Class,C 180,178000,1301-1600 cc,Petrol,Automatic,21/03/2021,2014,Other,345900,C 180 AMG 7G-Tronic,2014 BAYİ AMG CAM TAVAN RECARO XENON DERİ SERVİS BAKIMLI Mercedes - Benz C Serisi C 180 AMG 7G-Tronic,Adana
#1789265,Mercedes,C-Class,Other,220000,1301-1600 cc,Diesel,Automatic,21/03/2021,2015,Other,370000,Other,AMG C 200d 7 TRONİC İMZALI SERİ Mercedes - Benz C Serisi C 200 d BlueTEC AMG,Ağrı
#4709323,Mercedes,C-Class,C 180,133000,1601-1800 cc,Petrol,Semi-Automatic,21/03/2021,2011,Other,225000,C 180 BlueEfficiency Fascination,2011 MODEL 1.8.CGİ 7 İLERİ DEĞİŞENSİZ ÇOK TEMİZ Mercedes - Benz C Serisi C 180 BlueEfficiency Fascination,Konya
#2527771,Mercedes,C-Class,Other,112000,1301-1600 cc,Diesel,Automatic,21/03/2021,2017,Istanbul,457500,Other,UĞUR DAN C200d AMG TR DE TEK GECE PAKET BURMESTER CAM TAVAN NAVİ Mercedes - Benz C Serisi C 200 d BlueTEC AMG,Istanbul
#657578,Mercedes,C-Class,Other,97000,1300 cc and lower,Diesel,Automatic,21/03/2021,2017,Other,495000,Other,2017 C-200 AMG ELEKTRİK HAFIZALI KOLTUK VE BAGAJ GTR PANJUR İMZA Mercedes - Benz C Serisi C 200 d BlueTEC AMG,Mersin
#2057184,Mercedes,C-Class,Other,25000,1300 cc and lower,Diesel,Semi-Automatic,21/03/2021,2018,Istanbul,556950,Other,MERCEDES-BENZ C 200d AMG 160 HP HAYALET EKRAN HATASIZ Mercedes - Benz C Serisi C 200 D AMG,Istanbul
#508919,Mercedes,C-Class,Other,175000,1300 cc and lower,Petrol,Automatic,21/03/2021,2014,Other,335000,Other,YENİ KASA 2014 MODEL MERCEDES C-180 FASCİNATİON CAM TAVAN Mercedes - Benz C Serisi C 180 Fascination,Mersin
#2648236,Mercedes,C-Class,Other,190000,2001-2500 cc,Diesel,Manual,21/03/2021,1997,Other,109000,Other,ORJİNAL 190 BİN KMDE HATASIZ DEĞİŞENSİZ 220 CDİ Mercedes - Benz C Serisi C 220 CDI Esprit,Giresun
#3518277,Mercedes,C-Class,C 180,188000,1301-1600 cc,Petrol,Automatic,21/03/2021,2011,Other,245000,C 180 Komp. BlueEfficiency AMG,ALJ FİNANS TEB TECELEM VDF KOÇ FİNANS KUVEYT TÜRK ANLAŞMALIYIZ Mercedes - Benz C Serisi C 180 Komp. BlueEfficiency AMG,Kayseri
#4513646,Mercedes,C-Class,C 180,72000,1301-1600 cc,Petrol,Semi-Automatic,21/03/2021,2016,Istanbul,458000,C 180 AMG 7G-Tronic,FLYCAR 2016 C180 AMG 72.082 KM RECARO 360 KAMERA SAĞ-SOL HAFIZA Mercedes - Benz C Serisi C 180 AMG 7G-Tronic,Istanbul
#2512006,Mercedes,C-Class,C 180,32000,1301-1600 cc,Petrol,Automatic,21/03/2021,2016,Istanbul,725000,C 180 AMG 9G-Tronic,2016 MERCEDES C180 CABRIO AMG SOGUTMA BURMASTER AİRSCARF Mercedes - Benz C Serisi C 180 AMG 9G-Tronic,Istanbul
#651504,Mercedes,C-Class,C 180,54000,1301-1600 cc,Petrol,Semi-Automatic,21/03/2021,2014,Istanbul,406950,C 180 Exclusive,CİVAN 2014 C180 EXCLUSİVE RECARO-ÇİFT MERCEK-BOYASIZ-AİR PANJUR Mercedes - Benz C Serisi C 180 Exclusive,Istanbul
#3480640,Mercedes,C-Class,Other,114000,2001-2500 cc,Diesel,Manual,21/03/2021,1995,Other,125000,Other,FSM den Tr De Tek 114.000 Km Sanruf Klima Abs 4 Cam otomatik Mercedes - Benz C Serisi C 250 D Elegance,Kütahya
#4106298,Mercedes,C-Class,C 180,116000,1301-1600 cc,Petrol,Automatic,15/02/2021,2016,Other,354750,C 180 AMG 7G-Tronic,Mega Otomotiv. 2016 Mercedes-Benz C 180 AMG EXTRA 0.99 KREDİ Mercedes - Benz C Serisi C 180 AMG 7G-Tronic,Mersin
#4783940,Mercedes,C-Class,C 180,30000,1301-1600 cc,Petrol,Semi-Automatic,15/02/2021,2016,Istanbul,432900,C 180 Exclusive,2016 30 BİNDE MERCEDES C180 EXCLUSİVE CAMTAVAN K.ISITMA BOYASIZ Mercedes - Benz C Serisi C 180 Exclusive,Istanbul
#1559662,Mercedes,C-Class,Other,22000,1301-1600 cc,Diesel,Automatic,17/02/2021,2018,Other,528000,200 D,SAHİBİNDEN HATASIZ BOYASIZ TRAMERSİZ 2019 ÇIKIŞLI C 200 D AMG,Diyarbakır
#2308547,Mercedes,C-Class,A 200,43000,1301-1600 cc,Petrol,Automatic,18/02/2021,2017,Istanbul,480000,180 AMG 9G-Tronic,BAYİ ÇIKIŞLI İMZALI SERİ C-COUPE 9G-TRONİC,Istanbul
#107235,Mercedes,C-Class,B 180,95000,1601-1800 cc,Diesel,Automatic,23/02/2021,2015,Other,420000,200 BlueTEC AMG,HATASIZ BOYASIZ C200AMG ÖZEL SERI ANALOG SAAT,Hatay
#3614216,Mercedes,C-Class,E 180,125000,1301-1600 cc,Petrol,Automatic,24/02/2021,2014,Istanbul,389900,180 Exclusive,SÜRMENE OTOMOTİV DEN ISITMA SUNROOF CAM TAVAN F1 FULL,Istanbul
#2011083,Mercedes,C-Class,C 180,22000,1301-1600 cc,Petrol,Automatic,28/02/2021,2016,Other,525000,C 180 AMG 7G-Tronic,İLK EL SIFIRDAN FARKSIZ-MERCEDES BENZ C 180 AMG-22 BİN KM-SERVİS BAKIMLI,Elazığ
#3716681,Mercedes,C-Class,Other,88000,1301-1600 cc,Diesel,Automatic,01/03/2021,2017,Istanbul,389750,Other,EXTRA AMG JANTLI HATASIZ BOYASIZ ORJİNAL DİZEL OTOMATİK MERCEDES Mercedes - Benz C Serisi C 200 d BlueTEC Comfort,Istanbul
#1607836,Mercedes,C-Class,Other,108000,1301-1600 cc,Diesel,Automatic,01/03/2021,2017,Other,345000,Other,ORJİNAL HATASIZ 2017 MERCEDES-BENZ C 200 D BlueTEC COMFORT Mercedes - Benz C Serisi C 200 d BlueTEC Comfort,Kırıkkale
#4516804,Mercedes,C-Class,C 180,113000,1301-1600 cc,Petrol,Automatic,02/03/2021,2015,Istanbul,333900,C 180 Avantgarde,ASAL OTOMOTİVDEN 2015 MERCEDES C 180 1.6 AVANTGARDE 7G-TRONIC MERCEDES - BENZ C SERISI C 180 AVANTGARDE,Istanbul
#2513591,Mercedes,C-Class,Other,98000,1301-1600 cc,Petrol,Automatic,03/03/2021,2011,Other,240000,180 Komp. BlueEfficiency Sport,MEMURDAN BAYAN AZ KULLANILMIŞ SİGARA İÇİLMEMİŞ C180 KOMPRESOR,Samsun
#898528,Mercedes,C-Class,Other,170000,1301-1600 cc,Petrol,Semi-Automatic,04/03/2021,2012,Other,260000,180 Komp. BlueEfficiency Avantgarde,MAKYAJLI KASA HATASIZ BOYASIZ TRAMERSİZ PRİNS LPG Lİ,Van
#4309916,Mercedes,C-Class,C 200,121000,1301-1600 cc,Diesel,Automatic,06/03/2021,2015,Other,368000,C 200 BlueTEC Avantgarde,A K T İ F DEN2015 C 200D BLUETEC AVANTGARDE TOUCHPAD LED BOYASIZ,Ankara
#4071950,Mercedes,C-Class,A 200,43000,1301-1600 cc,Petrol,Automatic,10/03/2021,2017,Other,480000,180 AMG 9G-Tronic,BAYİ ÇIKIŞLI İMZALI SERİ C-COUPE 9G-TRONİC,Denizli
#3865573,Mercedes,C-Class,C 180,144000,1601-1800 cc,Petrol,Semi-Automatic,11/03/2021,2011,Istanbul,265000,C 180 BlueEfficiency Avantgarde,MERT YİĞİT OTOMOTİV...MERCEDES C180.. FABRİKASYON...HATASIZ... Mercedes - Benz C Serisi C 180 BlueEfficiency Avantgarde,Istanbul
#2704033,Mercedes,C-Class,C 180,42000,1301-1600 cc,Petrol,Semi-Automatic,15/02/2021,2016,Other,460000,C 180 Exclusive,CDR MOTORS -HATASIZ- 2016 MODEL 42.000 KM C180 EXCLUSIVE TAM FUL Mercedes - Benz C Serisi C 180 Exclusive,Izmir
#3229518,Mercedes,C-Class,Other,355000,2001-2500 cc,Diesel,Automatic,15/02/2021,2008,Other,174750,Other,ALTAŞ OTO MALATYA 2008 C220 CDI AMG HASAR KAYITLI Mercedes - Benz C Serisi C 220 CDI AMG,Kahramanmaraş
#4598804,Mercedes,C-Class,C 180,202000,1301-1600 cc,Petrol,Semi-Automatic,15/02/2021,2011,Other,215650,C 180 Komp. BlueEfficiency Fascination,BİZ HERKESİ ARABA SAHİBİ YAPIYORUZ ANINDA KREDİ SENETLİ SATIŞ Mercedes - Benz C Serisi C 180 Komp. BlueEfficiency Fascination,Malatya
#1646662,Mercedes,C-Class,C 180,230000,1301-1600 cc,Petrol,Automatic,15/02/2021,2010,Istanbul,195900,C 180 Komp. BlueEfficiency AMG,2010 MERCEDES C180 AMG - CAM TAVAN Mercedes - Benz C Serisi C 180 Komp. BlueEfficiency AMG,Istanbul
#238327,Mercedes,C-Class,C 180,202000,1601-1800 cc,Petrol,Automatic,15/02/2021,2011,Other,215000,C 180 BlueEfficiency AMG,FİX MOTORS DAN 2011 C 180 AMG 1.8 CGI 7G-TRONİC Mercedes - Benz C Serisi C 180 BlueEfficiency AMG,Antalya
#1943639,Mercedes,C-Class,C 180,95000,1301-1600 cc,Petrol,Automatic,15/02/2021,2011,Other,239000,C 180 Komp. BlueEfficiency AMG,EROĞLU 2011 C180 AMG BOYASIZ TRAMERSİZ ÇİZİKSİZ 95.000KM F1 Mercedes - Benz C Serisi C 180 Komp. BlueEfficiency AMG,Konya
#958682,Mercedes,C-Class,Other,34000,1301-1600 cc,Diesel,Automatic,15/02/2021,2017,Other,393000,Other,PALA OTO 2017 SUNROOF DERİ G.GÖRÜŞ F1 LED XENON BAYİİ Mercedes - Benz C Serisi C 200 d BlueTEC Comfort,Adana
#310415,Mercedes,C-Class,Other,21000,1301-1600 cc,Petrol,Automatic,15/02/2021,2017,Istanbul,399750,Other,2017 MODEL MERCEDES C 180 COMFORT 9G TRONİC BENZİNLİ 22.000 KMDE Mercedes - Benz C Serisi C 180 Comfort 9G-Tronic,Istanbul
#1662614,Mercedes,C-Class,Other,62000,1301-1600 cc,Diesel,Automatic,15/02/2021,2016,Other,458000,Other,ZAFERDEN HATASIZ BOYASIZ 62.000KMDE C200D AMG ÖZEL RENK 18KDV Mercedes - Benz C Serisi C 200 d BlueTEC AMG,Adana
#456427,Mercedes,C-Class,Other,234000,1301-1600 cc,Petrol,Semi-Automatic,15/02/2021,2014,Other,337000,Other,KUZEY DEN 2014 MODEL MERCEDES C180 CAM TAVAN TOUCH PAD ISITMA Mercedes - Benz C Serisi C 180 Fascination,Isparta
#2243269,Mercedes,C-Class,C 180,75000,1301-1600 cc,Petrol,Automatic,15/02/2021,2010,Other,225000,C 180 Komp. BlueEfficiency AMG,2010 MODEL 75000 BİNDE AMG CAM TAVAN LPG Lİ EN DOLU MODELİ Mercedes - Benz C Serisi C 180 Komp. BlueEfficiency AMG,Gaziantep
#3634558,Mercedes,C-Class,Other,330000,1601-1800 cc,Petrol,Automatic,15/02/2021,2007,Other,165000,Other,2007 MERCEDES C180 KOMPRESSÖR SPORT SUNROOF ELK.KOLTUK Mercedes - Benz C Serisi C 180 Komp. Sport,Kocaeli
#3382502,Mercedes,C-Class,C 180,230000,1601-1800 cc,Petrol,Semi-Automatic,15/02/2021,2011,Istanbul,194500,C 180 BlueEfficiency Fascination,2011 MODEL CAM TAVAN K.ISITMA COMAND EKSTRALI C180 1.8 7G Mercedes - Benz C Serisi C 180 BlueEfficiency Fascination,Istanbul
#408824,Mercedes,C-Class,Other,285000,1300 cc and lower,Diesel,Automatic,15/02/2021,2003,Other,145000,Other,sıfır ayarında Sadece sağ çamurluk değişik ve 9000 hasar kaydı v Mercedes - Benz C Serisi C 200 CDI Elegance,Ankara
#1530344,Mercedes,C-Class,Other,14000,1301-1600 cc,Petrol,Automatic,15/02/2021,2020,Other,575000,Other,CABİR DEN 2020 MERCEDES-BENZ C 200 4MATİC AMG 9G-TRONİC FL Mercedes - Benz C Serisi C 200 AMG,Hatay
#4760833,Mercedes,C-Class,Other,78000,1301-1600 cc,Diesel,Automatic,15/02/2021,2017,Istanbul,415000,Other,GÜLKAR DAN HATASIZ-BOYASIZ-DEĞİŞENSİZ 2017 C200 D AMG Mercedes - Benz C Serisi C 200 d BlueTEC AMG,Istanbul
#1382051,Mercedes,C-Class,C 180,169000,1301-1600 cc,Petrol,Semi-Automatic,15/02/2021,2011,Istanbul,228000,C 180 Komp. BlueEfficiency Elegance,AKMAN DAN 2011 MERCEDES-BENZ C180 İLK EL EMSALSİZ 169.000KM Mercedes - Benz C Serisi C 180 Komp. BlueEfficiency Elegance,Istanbul
#2858161,Mercedes,C-Class,C 180,118000,1300 cc and lower,Petrol,Automatic,15/02/2021,2012,Other,248000,C 180 Komp. BlueEfficiency AMG,ŞAHİN AUTODAN 2012 MERCEDES C 180 AMG LPGLİ 5 İLERİ Mercedes - Benz C Serisi C 180 Komp. BlueEfficiency AMG,Ankara
#1123538,Mercedes,C-Class,Other,85000,1301-1600 cc,Diesel,Automatic,15/02/2021,2017,Other,482000,Other,2017 MODEL C 200 AMG İMZA PAKET.. Mercedes - Benz C Serisi C 200 d BlueTEC AMG,Adıyaman
#4186146,Mercedes,C-Class,Other,37000,1301-1600 cc,Diesel,Automatic,15/02/2021,2017,Other,410000,Other,DÜZEN AUTO AUTOPİA 2017 C 200 d BlueTEC 37Km BOYASIZ SUNROOF Mercedes - Benz C Serisi C 200 d BlueTEC Comfort,Izmir
#4628832,Mercedes,C-Class,C 180,130000,1601-1800 cc,Petrol,Semi-Automatic,15/02/2021,2011,Istanbul,259900,C 180 BlueEfficiency Avantgarde,KARAKILIÇ OTOMOTİV 2011 MODEL C180 BlueEfficiency AVANTGARDE Mercedes - Benz C Serisi C 180 BlueEfficiency Avantgarde,Istanbul
#1008711,Mercedes,C-Class,Other,96000,1301-1600 cc,Diesel,Automatic,15/02/2021,2015,Other,407500,Other,2015 BOYASIZ MERCEDES C200d AMG TOUCHPAD ANALOG BOYASIZ 96BİNKM Mercedes - Benz C Serisi C 200 d BlueTEC AMG,Giresun
#4212309,Mercedes,C-Class,Other,94000,1301-1600 cc,Diesel,Automatic,15/02/2021,2016,Other,424900,Other,MAT GARAGE DAN 2016 MODEL MERCEDES C200D HATASIZ ÖZEL RENK Mercedes - Benz C Serisi C 200 d BlueTEC Exclusive,Gaziantep
#344705,Mercedes,C-Class,Other,108000,1301-1600 cc,Petrol,Semi-Automatic,15/02/2021,2015,Istanbul,372500,Other,2015 C180 FASCİNATİON CAMTAVAN GTR PANJUR NAVİ ISITMA BOYASIZ Mercedes - Benz C Serisi C 180 Fascination,Istanbul
#4044873,Mercedes,C-Class,C 180,118000,1601-1800 cc,Petrol,Manual,15/02/2021,1994,Other,105000,C 180 Elegance,Mercedes Benz C 180 Orijinal Kilometre Nostalji... Mercedes - Benz C Serisi C 180 Elegance,Gaziantep
#4603328,Mercedes,C-Class,C 180,289000,1601-1800 cc,Petrol,Manual,15/02/2021,1998,Other,92000,C 180 Elegance,C180 Classic HATASIZ Mercedes - Benz C Serisi C 180 Elegance,Balıkesir
#1332072,Mercedes,C-Class,Other,87000,1301-1600 cc,Diesel,Automatic,15/02/2021,2017,Other,394750,Other,2017MERCEDES.C200.D Mercedes - Benz C Serisi C 200 d BlueTEC Comfort,Konya
#159009,Mercedes,C-Class,C 180,192000,1301-1600 cc,Petrol,Automatic,15/02/2021,2010,Other,169000,C 180 Komp. BlueEfficiency AMG,ESMER AUTO DAN MERCEDES-BENZ C 180 BENZİN LPG FUL Mercedes - Benz C Serisi C 180 Komp. BlueEfficiency AMG,Malatya
#2608074,Mercedes,C-Class,Other,107000,1301-1600 cc,Diesel,Automatic,15/02/2021,2017,Other,376900,Other,GÜVEN OTODAN 2017 MERCEDES C200d COMFORT LED CRUİSE DERİ SUNROF Mercedes - Benz C Serisi C 200 d BlueTEC Comfort,Batman
#4390996,Mercedes,C-Class,Other,106000,1300 cc and lower,Diesel,Automatic,15/02/2021,2016,Istanbul,369850,Other,FIRSAT TAMAMINA KREDİLİ 18 FATURA 2016 MERCEDES-BENZ C200d AMG Mercedes - Benz C Serisi C 200 D AMG,Istanbul
#2858276,Mercedes,C-Class,C 220,225000,2001-2500 cc,Diesel,Automatic,15/02/2021,2009,Istanbul,189750,C 220 CDI Avantgarde,2009 Model C220 CDI Avantgarde EMSALSİZ temizlikte Hatasız Mercedes - Benz C Serisi C 220 CDI Avantgarde,Istanbul
#2079809,Mercedes,C-Class,C 180,176000,1300 cc and lower,Petrol,Automatic,15/02/2021,2012,Istanbul,265750,C 180 Komp. BlueEfficiency AMG,2012 HATASIZ BOYASIZ 1.6 MOTOR 5İLERİ C180 AMG 176.000 KM... Mercedes - Benz C Serisi C 180 Komp. BlueEfficiency AMG,Istanbul
#1948288,Mercedes,C-Class,Other,39000,1301-1600 cc,Diesel,Automatic,15/02/2021,2018,Other,429000,Other,SCLASS 2018 C200d BLUETEC COMFORT SUNROOF DERİ Bİ-XENON Mercedes - Benz C Serisi C 200 d BlueTEC Comfort,Ankara
#1461907,Mercedes,C-Class,Other,85000,1301-1600 cc,Diesel,Automatic,15/02/2021,2018,Istanbul,484000,Other,ÇALIŞKAN OTO SAMSUN BOYASIZ TRAMERSİZ DİZEL 2018 C200 AMG Mercedes - Benz C Serisi C 200 d BlueTEC AMG,Istanbul
#463294,Mercedes,C-Class,Other,75000,1301-1600 cc,Diesel,Automatic,15/02/2021,2017,Other,460000,Other,GARAGE 2017 MERCEDES BENZ C200 D EXCLUSIVE CAM TAVAN HATASIZ Mercedes - Benz C Serisi C 200 d BlueTEC Exclusive,Samsun
#2667566,Mercedes,C-Class,Other,40000,1301-1600 cc,Diesel,Automatic,15/02/2021,2018,Istanbul,544500,Other,2018 C200d AMG PANAROMİK ISITMA HAFIZA CRUISE G.GÖRÜŞ HATASIZ Mercedes - Benz C Serisi C 200 d BlueTEC AMG,Istanbul
#4723986,Mercedes,C-Class,C 180,32000,1301-1600 cc,Petrol,Automatic,15/02/2021,2017,Istanbul,835000,C 180 AMG 9G-Tronic,2017 MERCEDES C180 AMG CABRIO BURMESTER ISITMA AIRSCARF HATASIZ Mercedes - Benz C Serisi C 180 AMG 9G-Tronic,Istanbul
#1397669,Mercedes,C-Class,Other,40000,1301-1600 cc,Diesel,Automatic,15/02/2021,2018,Istanbul,588500,Other,2018 MERCEDES C 200D AMG PANORAMİK HAFIZA ISITMA G.GÖRÜŞ HATASIZ Mercedes - Benz C Serisi C 200 D AMG,Istanbul
#3985672,Mercedes,C-Class,Other,47000,1301-1600 cc,Petrol,Automatic,15/02/2021,2017,Istanbul,399500,Other,2017 MERCEDES C 180 COMFORT SUNROOF GERİ GÖRÜŞ F1 HATASIZ Mercedes - Benz C Serisi C 180 Comfort 9G-Tronic,Istanbul
#836721,Mercedes,C-Class,Other,300000,1301-1600 cc,Petrol,Automatic,15/02/2021,2020,Istanbul,631500,Other,2020 C200 4 MATIC EXCLUSIVE PANORAMİK ISITMA HAFIZA 300 KM Mercedes - Benz C Serisi C 200 Exclusive,Istanbul
#3113820,Mercedes,C-Class,Other,267000,2001-2500 cc,Diesel,Automatic,15/02/2021,2011,Istanbul,235000,Other,FURKAN ŞAHVELİ AUTO DAN MERCEDES C 220 Mercedes - Benz C Serisi C 220 CDI BlueEfficiency AMG,Istanbul
#4299634,Mercedes,C-Class,C 200,200000,1601-1800 cc,Petrol,Automatic,15/02/2021,2009,Other,189000,C 200 Komp. Avantgarde,DUMLU MOTORS 2009 MERCEDES C200 FULL FULL Mercedes - Benz C Serisi C 200 Komp. Avantgarde,Gaziantep
#2870822,Mercedes,C-Class,C 180,205000,1601-1800 cc,Petrol,Semi-Automatic,15/02/2021,2011,Istanbul,192000,C 180 BlueEfficiency Avantgarde,YENİ KASA 2011 C 180 AVANTGARDE 1.8 156 BG 7G- TRONİC PRİNS LPG Mercedes - Benz C Serisi C 180 BlueEfficiency Avantgarde,Istanbul
#1430273,Mercedes,C-Class,C 180,134000,1301-1600 cc,Petrol,Automatic,15/02/2021,2012,Istanbul,296900,C 180 AMG 7G-Tronic,145.000 PEŞİNAT İLE MERCEDES 180 AMG HATASIZ 134.000KM CAMTAVAN Mercedes - Benz C Serisi C 180 AMG 7G-Tronic,Istanbul
#3858681,Mercedes,C-Class,Other,19000,1301-1600 cc,Diesel,Automatic,15/02/2021,2018,Istanbul,528000,Other,TR DE TEK 19.000 KM HATASIZ BOYASIZ 2019 ÇIKIŞLI C200d AMG Mercedes - Benz C Serisi C 200 d BlueTEC AMG,Istanbul
#3952279,Mercedes,C-Class,C 180,55000,1301-1600 cc,Petrol,Semi-Automatic,15/02/2021,2014,Other,364750,C 180 Exclusive,2014 MODEL 55.000 KM FULL FULL C180 EXCLUSİVE AIR PANJ-GENİŞ EKR Mercedes - Benz C Serisi C 180 Exclusive,Antalya
#1603792,Mercedes,C-Class,Other,23000,1301-1600 cc,Diesel,Automatic,15/02/2021,2020,Istanbul,645000,Other,ÖZ KARDEŞLER DEN 2020 AMG HAYALET TABA GENİŞ EKRAN GECE PAKET Mercedes - Benz C Serisi C 200 D AMG,Istanbul
#2290196,Mercedes,C-Class,Other,466000,2001-2500 cc,Petrol,Manual,15/02/2021,1995,Istanbul,79800,Other,1995 MODEL LPG.Lİ KLİMALI ORJINAL KAZA DARBE DEĞİŞEN YOK.C220 Mercedes - Benz C Serisi C 220 Elegance,Istanbul
#3792588,Mercedes,C-Class,Other,56000,1301-1600 cc,Petrol,Semi-Automatic,05/02/2021,2016,Other,387500,Other,NEVZATOTO-56000KM-MERCEDES C180 FASCINATION-CAM TAVAN-KBLSZ ŞARJ Mercedes - Benz C Serisi C 180 Fascination,Antalya
#4286593,Mercedes,C-Class,Other,85000,1301-1600 cc,Diesel,Automatic,05/02/2021,2017,Istanbul,442000,Other,2017 C200D AMG EXTRALI KAZASIZ BOYASIZ TRAMERSİZ SIFIR GİBİ Mercedes - Benz C Serisi C 200 d BlueTEC AMG,Istanbul
#1299112,Mercedes,C-Class,C 180,65000,1301-1600 cc,Petrol,Semi-Automatic,05/02/2021,2016,Istanbul,519000,C 180 AMG 7G-Tronic,HANCAR MOTORS -İÇİ BEJ-RECARO-HAFIZA-ŞERİT-ELK DİREKSYON-HATASIZ Mercedes - Benz C Serisi C 180 AMG 7G-Tronic,Istanbul
#3538834,Mercedes,C-Class,C 180,193000,1300 cc and lower,Petrol,Semi-Automatic,05/02/2021,2012,Istanbul,252000,C 180 Komp. BlueEfficiency AMG,2012 MODEL C180 AMG 5 İLERİ LPG Lİ HATASIZ BOYASIZ Mercedes - Benz C Serisi C 180 Komp. BlueEfficiency AMG,Istanbul
#1454774,Mercedes,C-Class,Other,207000,2001-2500 cc,Petrol,Automatic,05/02/2021,2005,Other,157500,Other,UĞUR OTO 2005 MERCEDES C.230 AVANTGARDE SUNROOF DERİ ISITMA LPG Mercedes - Benz C Serisi C 230 Avantgarde,Ankara
#436302,Mercedes,C-Class,C 180,109000,1301-1600 cc,Petrol,Semi-Automatic,05/02/2021,2012,Other,246000,C 180 BlueEfficiency Avantgarde,ORJİNAL SADECE 109 BİN KM 7 İLERİ Mercedes - Benz C Serisi C 180 BlueEfficiency Avantgarde,Izmir
#2164581,Mercedes,C-Class,C 180,112000,1301-1600 cc,Petrol,Automatic,05/02/2021,2014,Istanbul,385500,C 180 AMG 7G-Tronic,GÜMÜŞ AUTO DAN HATASIZ BOYASIZ İMZALI SERİ AMG Mercedes - Benz C Serisi C 180 AMG 7G-Tronic,Istanbul
#468399,Mercedes,C-Class,C 180,57000,1301-1600 cc,Petrol,Semi-Automatic,05/02/2021,2011,Other,285000,C 180 Komp. BlueEfficiency Avantgarde,AUTO ARDA DAN 2011 MAKYAJLI MERCEDES C180 CAM TVN DERI 57.000 KM Mercedes - Benz C Serisi C 180 Komp. BlueEfficiency Avantgarde,Gaziantep
#1578009,Mercedes,C-Class,C 180,133000,1301-1600 cc,Petrol,Automatic,05/02/2021,2015,Istanbul,367500,C 180 AMG 7G-Tronic,KAYA MOTORS MERCEDES C180 2014 30 PEŞİN 12 18 24 36 AY TAKSİT Mercedes - Benz C Serisi C 180 AMG 7G-Tronic,Istanbul
#4634793,Mercedes,C-Class,C 180,99000,1301-1600 cc,Petrol,Semi-Automatic,05/02/2021,2012,Istanbul,297750,C 180 BlueEfficiency Avantgarde,OTOSHOW 2 ELDEN 2012 MERCEDES C 180 7 TRONİC AVANTGARDE BOYASIZ Mercedes - Benz C Serisi C 180 BlueEfficiency Avantgarde,Istanbul
#3513817,Mercedes,C-Class,Other,112000,1301-1600 cc,Diesel,Automatic,05/02/2021,2016,Istanbul,390900,Other,ÇINAR AUTO DAN 2016 SUNROOF GERİ GÖRŞ.-SERVİS BAKIMLI Mercedes - Benz C Serisi C 200 d BlueTEC Fascination,Istanbul
#4221947,Mercedes,C-Class,Other,180000,1301-1600 cc,Diesel,Automatic,05/02/2021,2020,Istanbul,687500,Other,2020 C200 d AMG YENI 160 HP 180KM BAYII CIKISLI Mercedes - Benz C Serisi C 200 D AMG,Istanbul
#2183819,Mercedes,C-Class,A 180,93000,1301-1600 cc,Petrol,Automatic,05/02/2021,2014,Other,405500,180-AMG 7G Tronic,2014 C180 AMG - HATASIZ - BOYASIZ - DEĞİŞENSİZ - TRAMERSİZ,Ankara
#1111576,Mercedes,C-Class,C 180,48000,1301-1600 cc,Petrol,Semi-Automatic,06/02/2021,2016,Other,524000,C 180 AMG 7G-Tronic,FURKAN OTO DAN C COUPE AMG BURMESTER-360KAMERA-GECEPAKET-19 JANT MERCEDES - BENZ C SERISI C 180 AMG 7G-TRONIC,Muğla
#4648737,Mercedes,C-Class,Other,172000,1301-1600 cc,Diesel,Automatic,08/02/2021,2015,Istanbul,363900,Other,2015 C200 EXECUTİVE AMG İMZALI SERİ Mercedes - Benz C Serisi C 200 d BlueTEC AMG,Istanbul
#4086151,Mercedes,C-Class,C 200,250000,2001-2500 cc,Diesel,Automatic,11/02/2021,2008,Other,240000,220 CDI,MERCEDES AMG C63 KASA,Bursa
#1899142,Mercedes,C-Class,Other,135000,1301-1600 cc,Diesel,Automatic,05/02/2021,2015,Other,315000,Other,2015 C200 DİZEL OTOMATİK STYLE SUNROOF Mercedes - Benz C Serisi C 200 d BlueTEC Style,Antalya
