adver_number,brand,class_,variant_,km,engine_capacity_cc,fuel,gear,adver_date,year,city,price_tl,variant,title,city_
#4294924,Mercedes,E-Class,E 180,69000,1301-1600 cc,Petrol,Automatic,24/01/2021,2018,Istanbul,625000,E 180 Exclusive,2018 MERCEDES-BENZ E 180 EXCLUSİVE 9G-TRONİC CAM TAVAN ISITMA Mercedes - Benz E Serisi E 180 Exclusive,Istanbul
#2956100,Mercedes,E-Class,E 250,42000,1801-2000 cc,Petrol,Semi-Automatic,24/01/2021,2015,Other,590000,E 250 EditionE,ÇANKARA DAN 2015 MERCEDES E250 EDİTİON 42 000 KM BOYASIZ TAM DOL Mercedes - Benz E Serisi E 250 EditionE,Kayseri
#4347069,Mercedes,E-Class,E 180,159000,1301-1600 cc,Petrol,Semi-Automatic,24/01/2021,2014,Istanbul,406950,E 180 Elite,SUNROOF -KOLTUK ISITMA -CAM TAVAN- FUL PAKET SERCANLAR Mercedes - Benz E Serisi E 180 Elite,Istanbul
#3653127,Mercedes,E-Class,E 250,310000,2501-3000 cc,Diesel,Automatic,24/01/2021,2003,Other,195000,E 270 CDI Avantgarde,TERTEMİZ BAKIMLI FULL CAM TAVANLI AİR Lİ 2003 E270CDİ AVANTGARDE Mercedes - Benz E Serisi E 270 CDI Avantgarde,Konya
#3523768,Mercedes,E-Class,E 250,105000,2001-2500 cc,Diesel,Automatic,24/01/2021,2013,Istanbul,585000,E 250 CDI AMG,2013 E250 4MATİC CAM TAVAN GERİ GÖRÜŞ HATASIZ BOYASIZ Mercedes - Benz E Serisi E 250 CDI AMG,Istanbul
#2342785,Mercedes,E-Class,E 250,106000,1801-2000 cc,Petrol,Semi-Automatic,24/01/2021,2015,Other,479000,E 250 Elite,TRAMERSİZ DEĞİŞENSİZ E 63 GÖRÜNÜM 106 BİN KM MASRAFSIZ Mercedes - Benz E Serisi E 250 Elite,Aydın
#387080,Mercedes,E-Class,E 180,104000,1301-1600 cc,Petrol,Automatic,24/01/2021,2013,Other,459500,E 180 AMG Premium,MERCEDES E 180 PREMIUM AMG 2013 MODEL 105 BİN KM Mercedes - Benz E Serisi E 180 AMG Premium,Adana
#156769,Mercedes,E-Class,E 180,96000,1301-1600 cc,Petrol,Semi-Automatic,24/01/2021,2015,Other,493000,E 180 Edition E,2015 MODEL MERCEDES BENZ E180 EDİTİON E HATASIZ TRAMERSİZ Mercedes - Benz E Serisi E 180 Edition E,Ankara
#1005040,Mercedes,E-Class,E 250,330000,1300 cc and lower,Diesel,Semi-Automatic,24/01/2021,2004,Other,196000,E 270 CDI Avantgarde,HARPUT OTOMOTİVDEN E 270 CDI AVANTGARDE Mercedes - Benz E Serisi E 270 CDI Avantgarde,Ankara
#3683514,Mercedes,E-Class,E 250,120000,2001-2500 cc,Diesel,Semi-Automatic,11/01/2021,2015,Other,539900,E 250 CDI Edition,CARETTA DAN 2015 BAYI HAFIZA PANORAMIK E250 CDI 4MATIC EDITIONE MERCEDES - BENZ E SERISI E 250 CDI EDITION,Aydın
